3334,00,42,31.01,1,58,45,12.4,6.18
3352,00,42,41.64,0,60,15,45.7,5.99
3356,00,42,42.89,0,38,27,48.5,6.05
3405,00,43,21.24,0,57,27,47.2,4.36
3414,00,43,28.09,1,47,01,28.7,4.95
3419,00,43,35.23,0,17,59,12.1,2.04
3436,00,43,50.09,0,12,00,40.7,6.01
3455,00,44,11.41,0,10,36,33.4,4.77
3456,00,44,11.92,0,38,25,19.1,5.9
3478,00,44,26.23,1,47,51,50.3,5.66
3489,00,44,31.52,0,62,29,51.4,6.06
3504,00,44,43.50,1,48,17,03.8,4.48
3505,00,44,44.44,0,22,00,22.8,5.22
3521,00,44,57.12,0,42,40,34.8,5.94
3527,00,44,59.72,0,53,42,53.6,6.15
3544,00,45,17.20,1,55,13,17.1,5.41
3552,00,45,24.10,0,04,37,45.3,6.15
3559,00,45,28.71,0,12,52,49.1,6.15
3572,00,45,39.11,1,74,59,17.3,5.64
3576,00,45,41.70,0,16,25,27.1,6.47
3583,00,45,45.43,0,47,33,07.8,5.8
3604,00,46,10.80,1,44,51,41.4,6.03
3607,00,46,11.63,0,22,31,19.4,5.49
3632,00,46,32.98,1,15,28,32.2,5.36
3641,00,46,38.23,1,69,19,31.3,6.39
3649,00,46,42.47,1,59,34,28.3,6.41
3675,00,47,01.43,1,11,58,26.2,5.51
3685,00,47,13.56,1,19,34,43.3,6.11
3693,00,47,20.39,1,24,16,02.6,4.08
3697,00,47,23.62,1,06,44,27.5,5.98
3717,00,47,43.20,0,18,03,41.1,5.7
3721,00,47,46.02,1,74,50,51.3,5.42
3741,00,48,01.05,0,21,43,20.9,5.57
3750,00,48,08.88,1,72,40,28.0,5.86
3760,00,48,17.34,1,07,17,59.7,5.92
3765,00,48,22.53,1,05,17,00.2,5.74
3781,00,48,35.12,0,74,55,24.1,5.09
3786,00,48,40.90,1,07,35,06.7,4.44
3801,00,48,49.99,1,50,58,05.5,4.9
3807,00,48,56.74,0,46,41,51.7,6.28
3810,00,48,58.71,1,16,56,28.1,5.07
3821,00,49,05.10,1,57,48,59.6,3.46
3834,00,49,13.90,0,24,08,11.5,5.9
3849,00,49,25.55,0,13,33,39.7,5.59
3858,00,49,33.44,0,23,21,43.6,6.27
