82273,16 48 39.87,-69 01 39.5,1.91,7.85,17.85,-32.92,K2IIb-IIIa,1.447
59747,12 15 08.76,-58 44 56.0,2.79,8.96,-36.68,-10.72,B2IV,-0.193
10602,02 16 30.50,-51 30 43.6,3.56,21.06,90.75,-21.9,B8IV-V,-0.12
29038,06 07 34.32,+14 46 06.7,4.42,6.1,4.95,-21.18,B3IV,-0.164
110960,22 28 49.80,-00 01 12.2,3.65,31.53,191.32,37.47,F3III-IV,0.406
59774,12 15 25.45,+57 01 57.4,3.32,40.05,103.56,7.81,A3Vvar,0.077
90496,18 27 58.27,-25 25 16.5,2.82,42.2,-44.81,-186.29,K1IIIb,1.025
98688,20 02 39.46,-27 42 35.6,4.43,7.28,32.28,14.35,M4III,1.64
55687,11 24 36.61,-10 51 33.8,4.81,8.95,-24.14,24.46,K5III,1.556
33160,06 54 11.48,-12 02 18.9,4.08,12.94,-139.04,-14.47,K4III,1.418
6537,01 24 01.45,-08 10 57.9,3.6,28.48,-78.38,-206.88,K0III,1.065
33165,06 54 13.05,-23 55 42.1,6.65,1.74,-3.86,4.75,WN5 (SB1),-0.056
86414,17 39 27.89,+46 00 22.8,3.82,6.58,-7.17,3.97,B3V SB,-0.179
100751,20 25 38.85,-56 44 05.6,1.94,17.8,7.71,-86.15,B2IV,-0.118
65936,13 31 02.67,-39 24 26.2,3.9,2.6,-15.65,-11.25,G8II/III,1.186
43409,08 50 32.01,-27 42 36.2,4.02,15.63,-133.49,88.16,K3III,1.272
110997,22 29 16.15,-43 29 44.0,3.97,11.03,25.62,-4.23,G6/G8III,1.022
55705,11 24 52.98,-17 41 02.5,4.06,38.9,-97.01,3.22,A9V,0.216
104858,21 14 28.79,+10 00 27.8,4.47,54.11,42.32,-303.43,F5V+...,0.529
59803,12 15 48.47,-17 32 31.1,2.58,19.78,-159.58,22.31,B8III,-0.107
84380,17 15 02.85,+36 48 33.0,3.16,8.89,-27.35,2.7,K3IIvar,1.437
84379,17 15 01.92,+24 50 22.5,3.12,41.55,-21.14,-157.68,A3IVv SB,0.08
115102,23 18 49.43,-32 31 54.6,4.41,18.24,19.65,-78.57,K1III,1.109
37279,07 39 18.54,+05 13 39.0,0.4,285.93,-716.57,-1034.58,F5IV-V,0.432
35228,07 16 49.83,-67 57 25.8,3.97,4.94,-4.11,8.5,F6II,0.76
20889,04 28 36.93,+19 10 49.9,3.53,21.04,107.23,-36.77,K0III,1.014
12706,02 43 18.12,+03 14 10.2,3.47,39.78,-146.43,-145.27,A3V,0.093
68002,13 55 32.43,-47 17 17.8,2.55,8.48,-57.14,-44.75,B2.5IV,-0.176
20894,04 28 39.67,+15 52 15.4,3.4,21.89,108.66,-26.39,A7III,0.179
72105,14 44 59.25,+27 04 27.0,2.35,15.55,-50.65,20.0,A0,0.966
111022,22 29 31.82,+47 42 24.8,4.34,2.8,-0.6,-3.37,M0II,1.679
49583,10 07 19.95,+16 45 45.6,3.48,1.53,-1.94,-0.53,A0Ib,-0.031
102831,20 49 58.08,-33 46 46.8,4.89,8.57,3.71,-20.19,G8III,1.004
10670,02 17 18.84,+33 50 50.4,4.03,27.73,44.91,-52.42,A1Vnn,0.019
2484,00 31 32.56,-62 57 29.1,4.36,23.35,82.48,-54.37,B9V,-0.064
94648,19 15 33.29,+73 21 18.8,4.45,21.73,-116.6,104.25,K3III,1.257
49593,10 07 25.73,+35 14 40.9,4.49,35.78,50.97,0.64,A7V,0.19
78265,15 58 51.12,-26 06 50.6,2.89,7.1,-12.0,-25.71,B1V + B2V,-0.18
82363,16 49 47.11,-59 02 28.7,3.77,10.41,39.59,-25.28,K5III,1.562
27072,05 44 27.97,-22 26 51.0,3.59,111.49,-292.42,-368.45,F7V,0.481
92609,18 52 13.04,-62 11 15.2,4.22,1.8,-1.33,-13.53,B2II-III,-0.15
35264,07 17 08.56,-37 05 51.0,2.71,2.98,-10.57,7.0,K3Ib,1.616
8645,01 51 27.61,-10 20 05.8,3.74,12.59,38.78,-38.04,K2III,1.136
90568,18 28 49.74,-49 04 12.1,4.1,25.6,137.9,-229.14,G8/K0III,0.995
80331,16 23 59.51,+61 30 50.7,2.73,37.18,-16.98,56.68,G8III,0.91
27100,05 44 46.42,-65 44 07.9,4.34,22.48,-28.38,6.12,A7V,0.217
82396,16 50 10.24,-34 17 33.4,2.29,49.85,-611.83,-255.87,K2IIIb,1.144
29151,06 08 57.90,+02 29 59.0,5.7,5.35,-1.75,-14.17,A3Vn,0.067
4577,00 58 36.35,-29 21 26.9,4.3,4.85,22.44,6.3,B7IIIp,-0.154
12770,02 44 07.35,-13 51 31.2,4.24,7.4,-7.58,-8.4,B7IV,-0.122
90595,18 29 11.85,-14 33 56.9,4.67,11.19,3.07,-3.48,A1IV/V,0.076
23015,04 56 59.62,+33 09 58.1,2.69,6.37,3.63,-18.54,K3IIvar,1.49
106985,21 40 05.34,-16 39 44.1,3.69,23.48,187.39,-22.33,A7III:mp...,0.32
49641,10 07 56.30,-00 22 17.9,4.48,11.35,-26.17,-3.65,A0III,-0.032
76267,15 34 41.19,+26 42 53.7,2.22,43.65,120.38,-89.44,A0V,0.032
61932,12 41 31.20,-48 57 35.6,2.2,25.01,-187.28,-1.2,A1IV,-0.023
53740,10 59 46.75,-18 17 56.8,4.08,18.71,-462.39,129.11,K1III,1.079
